region	ring	station	sector	layer	subsector	roll	strip	rawId	eff	noise
-1	2	3	6	1	1	1	3	637567684	0	0.382946
-1	2	3	6	1	1	1	4	637567684	0	0.382946
-1	2	3	6	1	1	1	5	637567684	0	0.382946
-1	2	3	6	1	1	1	6	637567684	0	0.382946
-1	2	3	6	1	1	1	7	637567684	0	0.382946
-1	2	3	6	1	1	1	8	637567684	0	0.382946
-1	2	3	6	1	1	1	9	637567684	0	0.382946
-1	2	3	6	1	1	1	10	637567684	0	0.382946
-1	2	3	6	1	1	1	11	637567684	0	0.382946
-1	2	3	6	1	1	1	12	637567684	0	0.382946
-1	2	3	6	1	1	1	13	637567684	0	0.382946
-1	2	3	6	1	1	1	14	637567684	0	0.382946
-1	2	3	6	1	1	1	15	637567684	0	0.382946
-1	2	3	6	1	1	1	16	637567684	0	0.382946
-1	2	3	6	1	1	1	17	637567684	0	0.382946
-1	2	3	6	1	1	1	18	637567684	0	0.382946
-1	2	3	6	1	1	1	19	637567684	0	0.382946
-1	2	3	6	1	1	1	20	637567684	0	0.382946
-1	2	3	6	1	1	1	21	637567684	0	0.382946
-1	2	3	6	1	1	1	22	637567684	0	0.382946
-1	2	3	6	1	1	1	23	637567684	0	0.382946
-1	2	3	6	1	1	1	24	637567684	0	0.382946
-1	2	3	6	1	1	1	25	637567684	0	0.382946
-1	2	3	6	1	1	1	26	637567684	0	0.382946
-1	2	3	6	1	1	1	27	637567684	0	0.382946
-1	2	3	6	1	1	1	28	637567684	0	0.382946
-1	2	3	6	1	1	1	29	637567684	0	0.382946
-1	2	3	6	1	1	1	30	637567684	0	0.382946
-1	2	3	6	1	1	1	31	637567684	0	0.382946
-1	2	3	6	1	1	1	32	637567684	0	0.382946
-1	2	4	6	1	1	1	1	637567716	0	0.382946
-1	2	4	6	1	1	1	2	637567716	0	0.382946
-1	2	4	6	1	1	1	3	637567716	0	0.382946
-1	2	4	6	1	1	1	4	637567716	0	0.382946
-1	2	4	6	1	1	1	5	637567716	0	0.382946
-1	2	4	6	1	1	1	6	637567716	0	0.382946
-1	2	4	6	1	1	1	7	637567716	0	0.382946
-1	2	4	6	1	1	1	8	637567716	0	0.382946
-1	2	4	6	1	1	1	9	637567716	0	0.382946
-1	2	4	6	1	1	1	10	637567716	0	0.382946
-1	2	4	6	1	1	1	11	637567716	0	0.382946
-1	2	4	6	1	1	1	12	637567716	0	0.382946
-1	2	4	6	1	1	1	13	637567716	0	0.382946
-1	2	4	6	1	1	1	14	637567716	0	0.382946
-1	2	4	6	1	1	1	15	637567716	0	0.382946
-1	2	4	6	1	1	1	16	637567716	0	0.382946
-1	2	4	6	1	1	1	17	637567716	0	0.382946
-1	2	4	6	1	1	1	18	637567716	0	0.382946
-1	2	4	6	1	1	1	19	637567716	0	0.382946
-1	2	4	6	1	1	1	20	637567716	0	0.382946
-1	2	4	6	1	1	1	21	637567716	0	0.382946
-1	2	4	6	1	1	1	22	637567716	0	0.382946
-1	2	4	6	1	1	1	23	637567716	0	0.382946
-1	2	4	6	1	1	1	24	637567716	0	0.382946
-1	2	4	6	1	1	1	25	637567716	0	0.382946
-1	2	4	6	1	1	1	26	637567716	0	0.382946
-1	2	4	6	1	1	1	27	637567716	0	0.382946
-1	2	4	6	1	1	1	28	637567716	0	0.382946
-1	2	4	6	1	1	1	29	637567716	0	0.382946
-1	2	4	6	1	1	1	30	637567716	0	0.382946
-1	2	4	6	1	1	1	31	637567716	0	0.382946
-1	2	4	6	1	1	1	32	637567716	0	0.382946
0	0	2	11	1	1	1	1	637568309	0	0.194817
0	0	2	11	1	1	1	2	637568309	0	0.194817
0	0	2	11	1	1	1	3	637568309	0	0.194817
0	0	2	11	1	1	1	4	637568309	0	0.194817
0	0	2	11	1	1	1	5	637568309	0	0.194817
0	0	2	11	1	1	1	6	637568309	0	0.194817
0	0	2	11	1	1	1	7	637568309	0	0.194817
0	0	2	11	1	1	1	8	637568309	0	0.194817
0	0	2	11	1	1	1	9	637568309	0	0.194817
0	0	2	11	1	1	1	10	637568309	0	0.194817
0	0	2	11	1	1	1	11	637568309	0	0.194817
0	0	2	11	1	1	1	12	637568309	0	0.194817
0	0	2	11	1	1	1	13	637568309	0	0.194817
0	0	2	11	1	1	1	14	637568309	0	0.194817
0	0	2	11	1	1	1	15	637568309	0	0.194817
0	0	2	11	1	1	1	16	637568309	0	0.194817
0	0	2	11	1	1	1	17	637568309	0	0.194817
0	0	2	11	1	1	1	18	637568309	0	0.194817
0	0	2	11	1	1	1	19	637568309	0	0.194817
0	0	2	11	1	1	1	20	637568309	0	0.194817
0	0	2	11	1	1	1	21	637568309	0	0.194817
0	0	2	11	1	1	1	22	637568309	0	0.194817
0	0	2	11	1	1	1	23	637568309	0	0.194817
0	0	2	11	1	1	1	24	637568309	0	0.194817
0	0	2	11	1	1	1	25	637568309	0	0.194817
0	0	2	11	1	1	1	26	637568309	0	0.194817
0	0	2	11	1	1	1	27	637568309	0	0.194817
0	0	2	11	1	1	1	28	637568309	0	0.194817
0	0	2	11	1	1	1	29	637568309	0	0.194817
0	0	2	11	1	1	1	30	637568309	0	0.194817
0	0	2	11	1	1	1	31	637568309	0	0.194817
0	0	2	11	1	1	1	32	637568309	0	0.194817
0	0	2	11	1	1	1	33	637568309	0	0.194817
0	0	2	11	1	1	1	34	637568309	0	0.194817
0	0	2	11	1	1	1	35	637568309	0	0.194817
0	0	2	11	1	1	1	36	637568309	0	0.194817
0	0	2	11	1	1	1	37	637568309	0	0.194817
0	0	2	11	1	1	1	38	637568309	0	0.194817
0	0	2	11	1	1	1	39	637568309	0	0.194817
0	0	2	11	1	1	1	40	637568309	0	0.194817
0	0	2	11	1	1	1	41	637568309	0	0.194817
0	0	2	11	1	1	1	42	637568309	0	0.194817
0	0	2	11	1	1	1	43	637568309	0	0.194817
0	0	2	11	1	1	1	44	637568309	0	0.194817
0	0	2	11	1	1	1	45	637568309	0	0.194817
0	0	2	11	1	1	1	46	637568309	0	0.194817
0	0	2	11	1	1	1	47	637568309	0	0.194817
0	0	2	11	1	1	1	48	637568309	0	0.194817
0	0	2	11	1	1	1	49	637568309	0	0.194817
0	0	2	11	1	1	1	50	637568309	0	0.194817
0	0	2	11	1	1	1	51	637568309	0	0.194817
0	0	2	11	1	1	1	52	637568309	0	0.194817
0	0	2	11	1	1	1	53	637568309	0	0.194817
0	0	2	11	1	1	1	54	637568309	0	0.194817
0	0	2	11	1	1	1	55	637568309	0	0.194817
0	0	2	11	1	1	1	56	637568309	0	0.194817
0	0	2	11	1	1	1	57	637568309	0	0.194817
0	0	2	11	1	1	1	58	637568309	0	0.194817
0	0	2	11	1	1	1	59	637568309	0	0.194817
0	0	2	11	1	1	1	60	637568309	0	0.194817
0	0	2	11	1	1	1	61	637568309	0	0.194817
0	0	2	11	1	1	1	62	637568309	0	0.194817
0	0	2	11	1	1	1	63	637568309	0	0.194817
0	0	2	11	1	1	1	64	637568309	0	0.194817
0	0	2	11	1	1	1	65	637568309	0	0.194817
0	0	2	11	1	1	1	66	637568309	0	0.194817
0	0	2	11	1	1	1	67	637568309	0	0.194817
0	0	2	11	1	1	1	68	637568309	0	0.194817
0	0	2	11	1	1	1	69	637568309	0	0.194817
0	0	2	11	1	1	1	70	637568309	0	0.194817
0	0	2	11	1	1	1	71	637568309	0	0.194817
0	0	2	11	1	1	1	72	637568309	0	0.194817
0	0	2	11	1	1	1	73	637568309	0	0.194817
0	0	2	11	1	1	1	74	637568309	0	0.194817
0	0	2	11	1	1	1	75	637568309	0	0.194817
0	0	2	11	1	1	1	76	637568309	0	0.194817
0	0	2	11	1	1	1	77	637568309	0	0.194817
0	0	2	11	1	1	1	78	637568309	0	0.194817
0	0	2	11	1	1	1	79	637568309	0	0.194817
0	0	2	11	1	1	1	80	637568309	0	0.194817
0	0	2	11	1	1	1	81	637568309	0	0.194817
0	0	2	11	1	1	1	82	637568309	0	0.194817
0	0	2	11	1	1	1	83	637568309	0	0.194817
0	0	2	11	1	1	1	84	637568309	0	0.194817
0	0	2	11	1	1	1	85	637568309	0	0.194817
0	0	2	11	1	1	1	86	637568309	0	0.194817
0	0	2	11	1	1	1	87	637568309	0	0.194817
0	0	2	11	1	1	1	88	637568309	0	0.194817
0	0	2	11	1	1	1	89	637568309	0	0.194817
0	0	2	11	1	1	1	90	637568309	0	0.194817
0	-2	2	12	1	1	1	1	637568429	0	0.194817
0	-2	2	12	1	1	1	2	637568429	0	0.194817
0	-2	2	12	1	1	1	3	637568429	0	0.194817
0	-2	2	12	1	1	1	4	637568429	0	0.194817
0	-2	2	12	1	1	1	5	637568429	0	0.194817
0	-2	2	12	1	1	1	6	637568429	0	0.194817
0	-2	2	12	1	1	1	7	637568429	0	0.194817
0	-2	2	12	1	1	1	8	637568429	0	0.194817
0	-2	2	12	1	1	1	9	637568429	0	0.194817
0	-2	2	12	1	1	1	10	637568429	0	0.194817
0	-2	2	12	1	1	1	11	637568429	0	0.194817
0	-2	2	12	1	1	1	12	637568429	0	0.194817
0	-2	2	12	1	1	1	13	637568429	0	0.194817
0	-2	2	12	1	1	1	14	637568429	0	0.194817
0	-2	2	12	1	1	1	15	637568429	0	0.194817
0	-2	2	12	1	1	1	16	637568429	0	0.194817
0	-2	2	12	1	1	1	17	637568429	0	0.194817
0	-2	2	12	1	1	1	18	637568429	0	0.194817
0	-2	2	12	1	1	1	19	637568429	0	0.194817
0	-2	2	12	1	1	1	20	637568429	0	0.194817
0	-2	2	12	1	1	1	21	637568429	0	0.194817
0	-2	2	12	1	1	1	22	637568429	0	0.194817
0	-2	2	12	1	1	1	23	637568429	0	0.194817
0	-2	2	12	1	1	1	24	637568429	0	0.194817
0	-2	2	12	1	1	1	25	637568429	0	0.194817
0	-2	2	12	1	1	1	26	637568429	0	0.194817
0	-2	2	12	1	1	1	27	637568429	0	0.194817
0	-2	2	12	1	1	1	28	637568429	0	0.194817
0	-2	2	12	1	1	1	29	637568429	0	0.194817
0	-2	2	12	1	1	1	30	637568429	0	0.194817
0	-2	2	12	1	1	1	31	637568429	0	0.194817
0	-2	2	12	1	1	1	32	637568429	0	0.194817
0	-2	2	12	1	1	1	33	637568429	0	0.194817
0	-2	2	12	1	1	1	34	637568429	0	0.194817
0	-2	2	12	1	1	1	35	637568429	0	0.194817
0	-2	2	12	1	1	1	36	637568429	0	0.194817
0	-2	2	12	1	1	1	37	637568429	0	0.194817
