region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	2	3	2	1	2	84	84	0.948423	0.948423	0.948423	0	-0.8799	1.01193	637602093
0	-2	2	3	2	1	3	84	84	0.976093	0.976093	0.976093	0	-0.986347	1.01193	637634861
0	-2	2	4	1	1	1	90	90	0.964056	0.964056	0.964056	0	-0.845445	1.53445	637567405
0	-2	2	4	1	1	3	90	90	0.96788	0.96788	0.96788	0	-1.01305	1.53445	637632941
0	-2	2	4	2	1	1	84	84	0.905432	0.905432	0.905432	0	-0.770793	1.53553	637569453
0	-2	2	4	2	1	2	84	84	0.754467	0.754467	0.754467	0	-0.8799	1.53553	637602221
0	-2	2	4	2	1	3	84	84	0.987472	0.987472	0.987472	0	-0.986347	1.53553	637634989
0	-2	2	5	1	1	1	90	90	0	0	0	90	-0.845445	2.05805	637567533
0	-2	2	5	1	1	3	90	90	0.974709	0.974709	0.974709	0	-1.01305	2.05805	637633069
0	-2	2	5	2	1	1	84	84	0.97009	0.97009	0.97009	0	-0.770793	2.05912	637569581
0	-2	2	5	2	1	2	84	84	0.971794	0.971794	0.971794	0	-0.8799	2.05912	637602349
0	-2	2	5	2	1	3	84	84	0.980311	0.980311	0.980311	0	-0.986347	2.05912	637635117
0	-2	2	6	1	1	1	90	90	0.891884	0.891884	0.891884	0	-0.845445	2.58164	637567661
0	-2	2	6	1	1	3	90	90	0.98068	0.98068	0.98068	0	-1.01305	2.58164	637633197
0	-2	2	6	2	1	1	84	84	0.960754	0.960754	0.960754	0	-0.770793	2.58272	637569709
0	-2	2	6	2	1	2	84	84	0.963944	0.963944	0.963944	0	-0.8799	2.58272	637602477
0	-2	2	6	2	1	3	84	84	0.826583	0.826583	0.826583	0	-0.986347	2.58272	637635245
0	-2	2	7	1	1	1	90	90	0.965112	0.965112	0.965112	0	-0.845445	3.10524	637567789
0	-2	2	7	1	1	3	90	90	0.965768	0.965768	0.965768	0	-1.01305	3.10524	637633325
